AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
-9.692223,0,0.469287,0.033783,-0.000824,0.030004,20.26987,51.760562,-39.578025,-0.14,-0.14,-0.26
-9.697011,-0.009577,0.440556,0.034315,-0.000025,0.022147,20.26987,51.760562,-39.578025,-0.14,-0.14,-0.27
-9.692223,-0.004789,0.469287,0.034049,-0.000425,0.020816,20.26987,51.760562,-39.578025,-0.14,-0.14,-0.27
-9.687434,-0.014366,0.421401,0.032984,-0.000691,0.024944,22.984586,54.47528,-38.001907,-0.15,-0.14,-0.28
-9.687434,-0.014366,0.421401,0.032984,-0.000691,0.024944,22.984586,54.47528,-38.001907,-0.15,-0.15,-0.29
-9.692223,-0.019155,0.450133,0.03325,-0.00149,0.020816,22.984586,54.47528,-38.001907,-0.15,-0.15,-0.29
-9.682645,-0.004789,0.469287,0.033916,-0.000425,0.02228,22.984586,54.47528,-38.001907,-0.15,-0.15,-0.3
-9.682645,-0.004789,0.469287,0.033916,-0.000425,0.02228,22.984586,54.47528,-38.001907,-0.16,-0.15,-0.3
-9.692223,-0.019155,0.440556,0.033117,-0.001357,0.019084,22.984586,54.47528,-38.001907,-0.16,-0.16,-0.31
-9.687434,-0.004789,0.445344,0.034449,0.000507,0.028006,22.984586,54.47528,-38.001907,-0.16,-0.16,-0.31
-9.687434,-0.004789,0.445344,0.034449,0.000507,0.028006,22.984586,54.47528,-38.001907,-0.17,-0.16,-0.32
-9.706589,0,0.450133,0.03365,-0.001756,0.02734,22.984586,54.47528,-38.001907,-0.17,-0.17,-0.32
-9.697011,-0.019155,0.445344,0.03325,-0.000558,0.010429,21.174776,53.751354,-39.4029,-0.17,-0.17,-0.33
-9.697011,-0.019155,0.445344,0.03325,-0.000558,0.010429,21.174776,53.751354,-39.4029,-0.17,-0.17,-0.34
-9.692223,-0.019155,0.430978,0.03365,-0.000025,0.021215,21.174776,53.751354,-39.4029,-0.18,-0.17,-0.34
-9.692223,0.004789,0.454922,0.034449,-0.000425,0.030403,21.174776,53.751354,-39.4029,-0.18,-0.18,-0.35
-9.692223,0.004789,0.454922,0.034449,-0.000425,0.030403,21.174776,53.751354,-39.4029,-0.18,-0.18,-0.35
-9.697011,0,0.45971,0.033117,0.000374,0.017487,21.174776,53.751354,-39.4029,-0.19,-0.18,-0.36
-9.697011,-0.014366,0.435767,0.033117,-0.000824,0.016821,21.174776,53.751354,-39.4029,-0.19,-0.18,-0.36
-9.682645,0.009577,0.450133,0.033916,0.000774,0.025476,21.174776,53.751354,-39.4029,-0.19,-0.19,-0.37
-9.682645,0.009577,0.450133,0.033916,0.000774,0.025476,21.174776,53.751354,-39.4029,-0.2,-0.19,-0.37
-9.697011,-0.004789,0.450133,0.03325,-0.002289,0.021215,20.993795,52.84645,-38.177032,-0.2,-0.19,-0.38
-9.687434,-0.023943,0.440556,0.03325,-0.000691,0.016155,20.993795,52.84645,-38.177032,-0.2,-0.19,-0.39
-9.687434,-0.023943,0.440556,0.03325,-0.000691,0.016155,20.993795,52.84645,-38.177032,-0.2,-0.2,-0.39
-9.687434,-0.004789,0.45971,0.033783,-0.000425,0.027873,20.993795,52.84645,-38.177032,-0.21,-0.2,-0.4
-9.692223,0.004789,0.45971,0.034848,-0.000158,0.024677,20.993795,52.84645,-38.177032,-0.21,-0.2,-0.4
-9.692223,0.004789,0.45971,0.034848,-0.000158,0.024677,20.993795,52.84645,-38.177032,-0.21,-0.21,-0.41
-9.716166,-0.038309,0.478865,0.034049,-0.000025,0.012426,20.993795,52.84645,-38.177032,-0.22,-0.21,-0.41
-9.692223,0.004789,0.474076,0.034582,-0.000025,0.021615,20.993795,52.84645,-38.177032,-0.22,-0.21,-0.42
-9.692223,0.004789,0.474076,0.034582,-0.000025,0.021615,20.993795,52.84645,-38.177032,-0.22,-0.21,-0.42
-9.7018,-0.004789,0.450133,0.034182,-0.000025,0.022147,20.993795,52.84645,-38.177032,-0.23,-0.22,-0.43
-9.673069,-0.009577,0.450133,0.035114,-0.002023,0.016022,20.450853,47.598003,-34.849678,-0.23,-0.22,-0.44
-9.673069,-0.009577,0.450133,0.035114,-0.002023,0.016022,20.450853,47.598003,-34.849678,-0.23,-0.22,-0.44
-9.735321,-0.028732,0.478865,0.033916,0.001573,0.021615,20.450853,47.598003,-34.849678,-0.23,-0.22,-0.45
-9.682645,0.019155,0.464499,0.034182,-0.000957,0.032134,20.450853,47.598003,-34.849678,-0.24,-0.23,-0.45
-9.687434,-0.009577,0.445344,0.033117,-0.002422,0.009097,20.450853,47.598003,-34.849678,-0.24,-0.23,-0.46
